Benedict,"Orbeetle-1,Thievul-1,Ludicolo-1,Liepard-1,Boltund-1,Tsareena-1,Vileplume-1,Manectric-1,Ninetales-1,Musharna-1,Crawdaunt-1,Hitmonlee-1,Hitmonchan-1,Hitmontop-1,Skuntank-1,Dusknoir-1,Seaking-1,Octillery-1,Basculin-1,Garbodor-1,Centiskorch-1,Gourgeist-1,Raichu-1,Grimmsnarl-1,Sawk-1,Gothitelle-1,Reuniclus-1,Beheeyem-1,Drapion-1,Malamar-1,Maractus-1,Toxapex-1,Heatmor-1,Rapidash-1,Oranguru-1,Passimian-1,Falinks-1,Grapploct-1,Pincurchin-1,Stonjourner-1,Rotom-1,Dracozolt-1"
Marko,"Orbeetle-1,Thievul-1,Ludicolo-1,Liepard-1,Boltund-1,Tsareena-1,Vileplume-1,Manectric-1,Ninetales-1,Musharna-1,Crawdaunt-1,Hitmonlee-1,Hitmonchan-1,Hitmontop-1,Skuntank-1,Dusknoir-1,Seaking-1,Octillery-1,Basculin-1,Garbodor-1,Centiskorch-1,Gourgeist-1,Raichu-1,Grimmsnarl-1,Sawk-1,Gothitelle-1,Reuniclus-1,Beheeyem-1,Drapion-1,Malamar-1,Maractus-1,Toxapex-1,Heatmor-1,Rapidash-1,Oranguru-1,Passimian-1,Falinks-1,Grapploct-1,Pincurchin-1,Stonjourner-1,Rotom-1,Dracozolt-1"
Brent,"Orbeetle-1,Thievul-1,Ludicolo-1,Liepard-1,Boltund-1,Tsareena-1,Vileplume-1,Manectric-1,Ninetales-1,Musharna-1,Crawdaunt-1,Hitmonlee-1,Hitmonchan-1,Hitmontop-1,Skuntank-1,Dusknoir-1,Seaking-1,Octillery-1,Basculin-1,Garbodor-1,Centiskorch-1,Gourgeist-1,Raichu-1,Grimmsnarl-1,Sawk-1,Gothitelle-1,Reuniclus-1,Beheeyem-1,Drapion-1,Malamar-1,Maractus-1,Toxapex-1,Heatmor-1,Rapidash-1,Oranguru-1,Passimian-1,Falinks-1,Grapploct-1,Pincurchin-1,Stonjourner-1,Rotom-1,Dracozolt-1"
Ellie,"Rillaboom-1,Ludicolo-1,Shiftry-1,Tsareena-1,Vileplume-1,Bellossom-1,Roserade-1,Abomasnow-1,Gardevoir-1,Eldegoss-1,Cherrim-1,Alcremie-1,Ribombee-1,Ferrothorn-1,Gourgeist-1,Leafeon-1,Sylveon-1,Slurpuff-1,Aromatisse-1,Grimmsnarl-1,Hatterene-1,Weezing-1,Clefable-1,Togekiss-1,Whimsicott-1,Mawile-1,Maractus-1,Mimikyu-1,Rapidash-1,Trevenant-1,Shiinotic-1,Dhelmise-1"
Ava,"Rillaboom-1,Ludicolo-1,Shiftry-1,Tsareena-1,Vileplume-1,Bellossom-1,Roserade-1,Abomasnow-1,Gardevoir-1,Eldegoss-1,Cherrim-1,Alcremie-1,Ribombee-1,Ferrothorn-1,Gourgeist-1,Leafeon-1,Sylveon-1,Slurpuff-1,Aromatisse-1,Grimmsnarl-1,Hatterene-1,Weezing-1,Clefable-1,Togekiss-1,Whimsicott-1,Mawile-1,Maractus-1,Mimikyu-1,Rapidash-1,Trevenant-1,Shiinotic-1,Dhelmise-1"
Moira,"Rillaboom-1,Ludicolo-1,Shiftry-1,Tsareena-1,Vileplume-1,Bellossom-1,Roserade-1,Abomasnow-1,Gardevoir-1,Eldegoss-1,Cherrim-1,Alcremie-1,Ribombee-1,Ferrothorn-1,Gourgeist-1,Leafeon-1,Sylveon-1,Slurpuff-1,Aromatisse-1,Grimmsnarl-1,Hatterene-1,Weezing-1,Clefable-1,Togekiss-1,Whimsicott-1,Mawile-1,Maractus-1,Mimikyu-1,Rapidash-1,Trevenant-1,Shiinotic-1,Dhelmise-1"
Finley,"Orbeetle-1,Noctowl-1,Roserade-1,Claydol-1,Musharna-1,Xatu-1,Bronzong-1,Gardevoir-1,Gallade-1,Gengar-1,Swoobat-1,Espeon-1,Glaceon-1,Wobbuffet-1,Cursola-1,Hatterene-1,Togekiss-1,Gothitelle-1,Reuniclus-1,Beheeyem-1,Malamar-1,Sigilyph-1,Polteageist-1,Oranguru-1,Lunatone-1,Solrock-1,Frosmoth-1,Drampa-1,Mr. Rime-1,Darmanitan-1"
Reu,"Orbeetle-1,Noctowl-1,Roserade-1,Claydol-1,Musharna-1,Xatu-1,Bronzong-1,Gardevoir-1,Gallade-1,Gengar-1,Swoobat-1,Espeon-1,Glaceon-1,Wobbuffet-1,Cursola-1,Hatterene-1,Togekiss-1,Gothitelle-1,Reuniclus-1,Beheeyem-1,Malamar-1,Sigilyph-1,Polteageist-1,Oranguru-1,Lunatone-1,Solrock-1,Frosmoth-1,Drampa-1,Mr. Rime-1,Darmanitan-1"
Theodore,"Gothitelle-1,Orbeetle-1,Noctowl-1,Roserade-1,Claydol-1,Musharna-1,Xatu-1,Bronzong-1,Gardevoir-1,Gallade-1,Gengar-1,Swoobat-1,Espeon-1,Glaceon-1,Wobbuffet-1,Cursola-1,Hatterene-1,Togekiss-1,Reuniclus-1,Beheeyem-1,Malamar-1,Sigilyph-1,Polteageist-1,Oranguru-1,Lunatone-1,Solrock-1,Frosmoth-1,Drampa-1,Mr. Rime-1,Darmanitan-1"
Zara,"Orbeetle-1,Noctowl-1,Roserade-1,Claydol-1,Musharna-1,Xatu-1,Bronzong-1,Gardevoir-1,Gallade-1,Gengar-1,Swoobat-1,Espeon-1,Glaceon-1,Wobbuffet-1,Cursola-1,Hatterene-1,Togekiss-1,Gothitelle-1,Reuniclus-1,Beheeyem-1,Malamar-1,Sigilyph-1,Polteageist-1,Oranguru-1,Lunatone-1,Solrock-1,Frosmoth-1,Drampa-1,Mr. Rime-1,Darmanitan-1"
